date,team,time,location
Jun. 15th,varsity,7:00pm-8:30pm,Auxiliary Gym
Jun. 17th,varsity,7:00pm-8:30pm,Auxiliary Gym
Jun. 22nd,varsity,7:00pm-8:30pm,HS Gym
Jun. 24th,varsity,7:00pm-8:30pm,HS Gym
Jun. 29th,varsity,7:00pm-8:30pm,HS Gym
Jul. 1st,varsity,7:00pm-8:30pm,HS Gym
Jul. 6th,varsity,7:00pm-8:30pm,HS Gym
Jul. 8th,varsity,7:00pm-8:30pm,HS Gym
Jul. 13th,varsity,7:00pm-8:30pm,HS Gym
Jul. 15th,varsity,7:00pm-8:30pm,HS Gym
Jul. 20th,varsity,7:00pm-8:30pm,HS Gym
Jul. 22nd,varsity,7:00pm-8:30pm,HS Gym
Jul. 27th,varsity,7:00pm-8:30pm,HS Gym
Jul. 29th,varsity,7:00pm-8:30pm,HS Gym
Jun. 15th,jh,7:00pm-8:30pm,Auxiliary Gym
Jun. 17th,jh,7:00pm-8:30pm,Auxiliary Gym
Jun. 22nd,jh,7:00pm-8:30pm,HS Gym
Jun. 24th,jh,7:00pm-8:30pm,HS Gym
Jun. 29th,jh,7:00pm-8:30pm,HS Gym
Jul. 1st,jh,7:00pm-8:30pm,HS Gym
Jul. 6th,jh,7:00pm-8:30pm,HS Gym
Jul. 8th,jh,7:00pm-8:30pm,HS Gym
Jul. 13th,jh,7:00pm-8:30pm,HS Gym
Jul. 15th,jh,7:00pm-8:30pm,HS Gym
Jul. 20th,jh,7:00pm-8:30pm,HS Gym
Jul. 22nd,jh,7:00pm-8:30pm,HS Gym
Jul. 27th,jh,7:00pm-8:30pm,HS Gym
Jul. 29th,jh,7:00pm-8:30pm,HS Gym
