date,team,opponent,location,time,result,score
Dec. 1st,varsity,TRF,home,7:00pm,L,66-87
Dec. 4th,varsity,EGF,away,6:30pm,L,44-73
Dec. 11th,varsity,Warroad,away,7:30pm,L,41-80
Dec. 13th,varsity,SH,away,4:00pm,L,73-88
Dec. 16th,varsity,EGF,home,6:30pm,L,78-91
Dec. 19th,varsity,KCC,away,7:30pm,L,47-75
Dec. 22nd,varsity,SAC,home,7:30pm,L,68-98
Jan. 2nd,varsity,Menagha,home,7:30pm,W,79-51
Jan. 3rd,varsity,WDC,home,1:30pm,W,58-51
Jan. 8th,varsity,Clearbrook,away,5:30pm,L,62-66
Jan. 9th,varsity,SAC,away,7:30pm,L,48-82
Jan. 12th,varsity,GGG,home,7:00pm,L,44-60
Jan. 13th,varsity,BGMR,away,7:30pm,W,80-73
Jan. 15th,varsity,KCC,home,7:00pm,L,41-82
Jan. 19th,varsity,GGG,away,7:30pm,L,44-60
Jan. 26th,varsity,WAO,away,7:00pm,L,50-73
Jan. 30th,varsity,BGMR,home,7:00pm,L,56-60
Jan. 31st,varsity,Crookston,home,1:30pm,W,62-61
Feb. 2nd,varsity,TRF,away,7:30pm,L,57-73
Feb. 5th,varsity,Freeze,away,7:30pm,L,81-83
Feb. 9th,varsity,IFalls,away,6:00pm,W,79-41
Feb. 13th,varsity,RLC,away,7:30pm,L,45-88
Feb. 17th,varsity,Warroad,home,7:00pm,W,86-78
Feb. 19th,varsity,Crookston,away,6:00pm,L,70-82
Feb. 24th,varsity,LOTW,home,7:00pm,W,86-78
Feb. 26th,varsity,Freeze,home,7:30pm,L,75-88
Mar. 5th,varsity,TRF,playoffs,6:00pm,L,57-69
Dec. 1st,jh,TRF,away,4:30pm,L,
Dec. 6th,jh,Roseau,away,6:30pm,,
Dec. 11th,jh,Warroad,away,5:00pm,W,
Dec. 19th,jh,KCC,away,5:00pm,L,
Dec. 22nd,jh,SAC,home,4:00pm,L,
Jan. 9th,jh,SAC,away,5:00pm,L,
Jan. 12th,jh,GGG,home,5:00pm,L,
Jan. 13th,jh,BGMR,away,4:45pm,W,
Jan. 15th,jh,KCC,home,5:00pm,L,
Jan. 19th,jh,GGG,away,4:45pm,L,
Jan. 23rd,jh,Freeze,home,4:00pm,W,
Jan. 26th,jh,WAO,home,5:00pm,L,
Jan. 30th,jh,BGMR,home,5:00pm,,
Jan. 30th,jh,Grafton,away,4:00pm,,
Feb. 5th,jh,Freeze,away,4:45pm,,
Feb. 9th,jh,TRF,home,4:30pm,,
Feb. 17th,jh,Warroad,home,5:00pm,,
Feb. 23rd,jh,Grafton,home,4:00pm,,
Feb. 24th,jh,LOTW,home,5:00pm,,
